timestamp,market_id,market_name,bet_id,bet_name,last_trade_price,buy_yes_price,buy_no_price,sell_yes_price,sell_no_price,volume
2024-10-30T18:15:32.423423+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:16:32.620063+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:16:32.620063+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:17:32.817896+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:17:32.817896+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:18:33.033314+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:18:33.033314+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:19:33.230255+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:19:33.230255+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:20:33.436054+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:20:33.436054+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:21:33.673654+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:21:33.673654+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:22:34.160744+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:22:34.160744+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:23:34.376768+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:23:34.376768+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:24:34.572384+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:24:34.572384+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:25:34.775815+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:25:34.775815+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:26:35.055075+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:26:35.055075+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:27:35.269875+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
